word,class,level,meaning,full_sentence,category
terrain,noun,c1,địa hình,The mountainous terrain made the hike very challenging.,Environment
terrible,adjective,a1,"kinh khủng, tồi tệ","The weather was terrible, so we stayed indoors.",Environment
terribly,adverb,b2,"một cách kinh khủng, rất","She sang terribly, but she enjoyed herself.",General
terrific,adjective,c1,"tuyệt vời, xuất sắc",We had a terrific time at the party last night.,Family
terrify,verb,b2,"làm kinh hãi, làm sợ hãi",The loud thunder and lightning terrified the small child.,Emotions
territory,noun,b2,"lãnh thổ, khu vực",The country claimed the disputed territory as its own.,Environment
terror,noun,b2,"sự kinh hoàng, nỗi khiếp sợ",The sudden loud noise filled the children with terror.,Emotions
terrorism,noun,b2,chủ nghĩa khủng bố,Governments worldwide are working together to combat terrorism.,Politics & Law
terrorist,noun,b2,kẻ khủng bố,The police arrested a suspected terrorist after the attack.,General
test,noun,a1,"bài kiểm tra, cuộc thử nghiệm",Students are preparing for their final math test next week.,Education
test,verb,a1,"kiểm tra, thử nghiệm",The doctor will test your blood pressure.,Health
testify,verb,c1,"làm chứng, chứng thực",She was called to testify in court about what she saw.,Politics & Law
testimony,noun,c1,"lời khai, bằng chứng",The jury listened carefully to the witness's testimony.,Politics & Law
testing,noun,b2,"sự kiểm tra, sự thử nghiệm",The new software is currently undergoing rigorous testing.,Technology
text,noun,a1,"văn bản, tin nhắn",Please read the text on page 20 for homework.,Education
text,verb,a2,nhắn tin,I will text you when I arrive at the station.,Language Skills
textbook,noun,b2,sách giáo khoa,Please bring your math textbook to class tomorrow.,General
texture,noun,c1,"kết cấu, bề mặt, độ mịn/thô",The artist used different materials to create a rich texture in her painting.,Arts & Music
than,conjunction,a1,"hơn là, so với (dùng trong so sánh)",She is taller than her brother.,Grammar
than,preposition,a1,"hơn (dùng sau các từ như 'other', 'rather')",I would rather stay home than go out tonight.,Grammar
thank,verb,a1,"cảm ơn, tạ ơn",I want to thank you for your help with the project.,Communication
thankfully,adverb,c1,"may mắn thay, thật may mắn là","Thankfully, no one was seriously injured in the accident.",Description
thanks,exclamation,a1,cảm ơn!,Here's your drink. Thanks!,Communication
thanks,noun,a1,"lời cảm ơn, sự cảm tạ",Please accept my sincere thanks for your generosity.,Communication
that,adverb,b1,"đến mức đó, như thế, như vậy (dùng để nhấn mạnh mức độ)",I didn't realize it was that cold outside.,Environment
that,conjunction,a1,rằng; mà (dùng để giới thiệu mệnh đề phụ),She said that she would be late for the meeting.,Communication
that,determiner,a1,"đó, kia (dùng để chỉ một vật, người ở xa)",Can you hand me that book on the top shelf?,Grammar
that,pronoun,a1,"cái đó, người đó (dùng để thay thế cho một danh từ đã được nhắc đến hoặc chỉ một vật/người)",That is a very interesting idea.,Grammar
the,definite article,a1,"cái, con, người, những (mạo từ xác định, dùng trước danh từ đã được xác định hoặc duy nhất)",The sun rises in the east.,Environment
theatre,noun,a1,"nhà hát, sân khấu",They decided to go to the theatre to watch a musical.,Music & Performance
theatrical,adjective,c1,"thuộc về sân khấu; kịch tính, khoa trương","Her performance was very theatrical, full of dramatic gestures and expressions.",Arts & Music
theft,noun,b2,"sự trộm cắp, vụ trộm",The police are investigating the theft of several valuable paintings from the museum.,Crime & Justice
their,determiner,a1,của họ (chỉ sở hữu của nhiều người/vật),The students submitted their assignments on time.,Grammar
theirs,pronoun,b1,của họ (đại từ sở hữu),That car isn't ours; I think it's theirs.,Daily Life
them,pronoun,a1,"họ, chúng (tân ngữ)",I saw them walking together in the park yesterday.,Grammar
theme,noun,b1,"chủ đề, đề tài",The main theme of the conference was sustainable development.,General
themselves,pronoun,a2,"chính họ, bản thân họ",The children enjoyed playing by themselves in the park.,Grammar
then,adverb,a1,"sau đó, rồi thì","First, we'll have dinner, and then we can watch a movie.",Duration & Frequency
theology,noun,c1,thần học,She is studying theology at the university to understand different religions.,Religion
theoretical,adjective,c1,"thuộc về lý thuyết, mang tính lý thuyết","His plan sounds good in theory, but it might be difficult to implement in practice.",Science
theory,noun,b1,"lý thuyết, học thuyết",The scientist proposed a new theory to explain the phenomenon.,Technology & Engineering
therapist,noun,b2,"nhà trị liệu, chuyên gia trị liệu",She decided to see a therapist to help her cope with stress.,Health
therapy,noun,b2,"liệu pháp, sự điều trị",Physical therapy helped him recover movement in his arm after the injury.,Medical & Treatment
there,adverb,a1,"ở đó, tại đó",The book is over there on the shelf.,Travel
thereafter,adverb,c1,"sau đó, kể từ đó","He graduated from college in 2010, and thereafter he started his own business.",Time
thereby,adverb,c1,"do đó, bằng cách đó","He ignored the warning, thereby causing the accident.",Grammar
therefore,adverb,b1,"vì vậy, do đó","It was raining; therefore, we decided to stay indoors.",Grammar
thesis,noun,b2,"luận văn, luận điểm",She spent a year writing her master's thesis on ancient history.,General
they,pronoun,a1,"họ, chúng",The children are playing outside; they seem very happy.,People
thick,adjective,a2,"dày, đặc",The book has a very thick cover.,General
thief,noun,a2,"kẻ trộm, tên trộm",The police caught the thief trying to steal a car.,General
thin,adjective,a2,"mỏng, gầy",The ice on the pond was too thin to walk on.,Health
thing,noun,a1,"vật, đồ vật, sự việc",What's that strange thing on the table?,Daily Life
think,verb,a1,"nghĩ, suy nghĩ, cho rằng",I think we should leave early to avoid traffic.,Emotions
thinking,noun,a2,"sự suy nghĩ, tư duy",Her creative thinking led to a brilliant solution.,Emotions
third,noun,a2,một phần ba,She ate a third of the pizza.,Food & Drink
third,ordinal number,a1,thứ ba,He was the third person to arrive.,Time
thirsty,adjective,a1,khát nước,I'm very thirsty after my run.,Health
thirteen,number,a1,mười ba,My sister will be thirteen next month.,Science
thirty,number,a1,ba mươi,There are thirty students in the class.,Science
this,adverb,b1,"đến mức này, đến thế này",I didn't expect it to be this difficult.,Grammar
this,determiner,a1,"này (chỉ vật ở gần, số ít)",This book is very interesting.,Grammar
this,pronoun,a1,"cái này, người này","This is my friend, Sarah.",People
thorough,adjective,b2,"hoàn toàn, kỹ lưỡng, triệt để",The police conducted a thorough investigation into the incident.,Politics & Law
thoroughly,adverb,b2,"một cách kỹ lưỡng, hoàn toàn, triệt để",She cleaned the kitchen thoroughly before the guests arrived.,Daily Life
though,adverb,b1,"tuy nhiên, dù vậy","She said she didn't like it; I think she did, though.",Communication
though,conjunction,b1,"mặc dù, dù cho","Though it was raining, we decided to go for a walk.",Environment
thought,noun,a2,"suy nghĩ, ý nghĩ",He shared an interesting thought about the future of work.,General
thought-provoking,adjective,c1,"khiêu gợi tư duy, đáng suy ngẫm",The documentary presented a thought-provoking analysis of climate change.,Environment
thoughtful,adjective,c1,"chu đáo, ân cần; trầm tư",It was very thoughtful of you to bring flowers.,Communication
thousand,number,a1,"nghìn, ngàn (số 1000)",The city has a population of over a thousand people.,Science
thread,noun,c1,"sợi chỉ, sợi tơ",She used a needle and thread to sew the button back on her shirt.,Objects & Tools
threat,noun,b2,"mối đe dọa, sự đe dọa",Climate change poses a serious threat to the environment.,Environment
threaten,verb,b2,"đe dọa, hăm dọa",The dark clouds threatened to bring a heavy storm.,Environment
three,number,a1,ba (số 3),There are three apples in the basket.,Science
threshold,noun,c1,"ngưỡng cửa, ngưỡng (giới hạn)","She stood on the threshold of the house, hesitating before entering.",Science
thrilled,adjective,c1,"rất vui mừng, phấn khích",I was absolutely thrilled to hear about your promotion!,Emotions
thrive,verb,c1,"phát triển mạnh, thịnh vượng","Plants thrive in a warm, sunny environment.",Environment
throat,noun,b1,cổ họng,My throat feels sore after shouting at the concert.,Body & Fitness
through,adverb,a1,"xuyên qua, qua",The light shone through the window.,Travel
through,preposition,a1,"xuyên qua, qua",The train went through the tunnel.,Travel
throughout,adverb,b1,"khắp nơi, suốt (thời gian)",The house was decorated throughout for the party.,Grammar
throughout,preposition,b1,"khắp (nơi), suốt (thời gian)",People celebrated the new year throughout the city.,General
throw,verb,a2,"ném, quăng",Please throw the ball back to me.,Sports
thumb,noun,b2,ngón tay cái,He gave me a thumbs up to show approval.,Health
Thursday,noun,a1,Thứ Năm (ngày trong tuần),We have a meeting scheduled for Thursday morning.,Calendar & Dates
thus,adverb,b2,"do đó, vì vậy, như vậy","The experiment failed; thus, we need to revise our hypothesis.",Grammar
ticket,noun,a1,"vé (giấy tờ cho phép vào cửa, đi lại)",I bought a ticket for the concert next month.,Transportation
tide,noun,c1,thủy triều (sự lên xuống của mực nước biển),The tide is high in the morning and low in the afternoon.,Environment
tidy,adjective,a2,"gọn gàng, ngăn nắp",Please try to keep your room tidy.,Home & Housing
tidy,verb,a2,"dọn dẹp, sắp xếp gọn gàng",Please tidy your room before your friends come over.,Home & Housing
tie,noun,a2,cà vạt; mối ràng buộc,He always wears a suit and a tie to work.,Fashion
tie,verb,a2,"buộc, cột, thắt",Can you help me tie my shoelaces?,Home & Housing
tight,adjective,b1,"chật, bó sát; chặt chẽ",These jeans are too tight for me now.,Fashion
tighten,verb,c1,"siết chặt, thắt chặt",You need to tighten the screws on this shelf.,Daily Life
till,conjunction,b1,"cho đến khi, cho tới khi",We waited till the rain stopped before leaving the house.,Grammar
till,preposition,b1,"cho đến, cho tới",The store is open till 9 PM tonight.,Finance
timber,noun,c1,"gỗ (đã đốn, dùng trong xây dựng); cây gỗ",The house was built using high-quality timber from sustainable forests.,Industry
time,noun,a1,"thời gian; lúc, giờ",What time does the movie start?,Science
time,verb,b2,"định giờ, hẹn giờ; tính giờ",He timed his run perfectly to finish just under ten seconds.,Sports
timely,adjective,c1,"kịp thời, đúng lúc",The government's timely intervention prevented a major economic crisis.,Finance
timing,noun,b2,"sự định thời gian, sự căn thời gian",Her excellent timing allowed her to catch the ball perfectly.,Sports
tin,noun,b1,thiếc (kim loại); hộp thiếc,We bought a tin of biscuits for the picnic.,Food & Drink
tiny,adjective,b1,"rất nhỏ, bé tí",The baby wore a tiny pair of shoes.,Daily Life
tip,noun,a2,"mẹo, lời khuyên; tiền boa; đầu mút",Here's a useful tip for studying: review your notes regularly.,General
tip,verb,b1,cho tiền boa; nghiêng; đổ,He tipped the waiter generously after the excellent service.,People
tired,adjective,a1,"mệt mỏi, kiệt sức","After a long day of hiking, she felt completely tired.",Emotions
tissue,noun,b2,khăn giấy; mô (sinh học),Could you please pass me a tissue? I need to blow my nose.,Body & Fitness
title,noun,a1,tiêu đề; chức danh; danh hiệu,The title of the movie was very intriguing.,Grammar
title,verb,b2,đặt tên; phong danh hiệu,The author decided to title her new book 'The Secret Garden'.,Grammar
to,infinitive marker,a1,"để (chỉ mục đích, hoặc đứng trước động từ nguyên mẫu)",I want to learn how to play the guitar.,Grammar
to,preposition,a1,"đến, tới (chỉ hướng, địa điểm)",We are going to the park this afternoon.,Travel
tobacco,noun,c1,thuốc lá (lá cây thuốc lá đã chế biến),Smoking tobacco is harmful to your health.,Health
today,adverb,a1,hôm nay (chỉ thời gian),I have a lot of work to do today.,Time
today,noun,a1,ngày hôm nay (danh từ),Today is a beautiful day for a walk.,Time
toe,noun,b1,ngón chân,She stubbed her toe on the leg of the table.,Body & Fitness
together,adverb,a1,"cùng nhau, chung với nhau",We decided to work together on the project.,Communication
toilet,noun,a1,"nhà vệ sinh, bồn cầu","Could you tell me where the toilet is, please?",Home & Housing
tolerance,noun,c1,"sự khoan dung, lòng bao dung; khả năng chịu đựng",We need to show more tolerance towards people from different cultures.,People
tolerate,verb,c1,"chịu đựng, dung thứ, khoan dung",I cannot tolerate such rude behavior in my house.,Emotions
toll,noun,c1,"phí cầu đường; thiệt hại, số người chết/bị thương","The accident took a heavy toll on the community, both emotionally and financially.",Personal Finance
tomato,noun,a1,cà chua,She added a sliced tomato to her salad for extra flavor and color.,Fruits & Vegetables
tomorrow,adverb,a1,vào ngày mai,I will finish my homework tomorrow before going to the park.,Time
tomorrow,noun,a1,ngày mai,"Tomorrow is a new day, full of possibilities.",Time
ton,noun,b2,tấn (đơn vị đo khối lượng),The truck was capable of carrying several tons of cargo.,Science
tone,noun,b2,"âm điệu, giọng điệu; màu sắc",The speaker's tone of voice conveyed her frustration.,Communication
tongue,noun,b1,lưỡi (bộ phận cơ thể); ngôn ngữ,She bit her tongue to stop herself from saying something rude.,Body & Fitness
tonight,adverb,a1,"tối nay, đêm nay","Are you busy tonight, or do you want to watch a movie?",Time
tonight,noun,a1,"tối nay, đêm nay (như một khoảng thời gian)",Tonight's concert is completely sold out.,Time
tonne,noun,b2,"tấn (đơn vị đo khối lượng, tương đương 1000 kilôgam)",The truck was carrying several tonnes of sand.,Science
too,adverb,a1,"cũng, quá (mức)",It's too hot to play outside today.,Environment
tool,noun,a2,"dụng cụ, công cụ",He used a hammer as a tool to fix the chair.,Objects & Tools
tooth,noun,a1,răng,My baby is getting her first tooth.,Health
top,adjective,a2,"hàng đầu, cao nhất, giỏi nhất",She is a top student in her class.,General
top,noun,a2,"đỉnh, chóp, mặt trên",Please put the book on top of the shelf.,Objects & Tools
top,verb,c1,"đứng đầu, vượt qua, đạt đỉnh",She managed to top the sales chart for the third month in a row.,Professions
topic,noun,a1,"chủ đề, đề tài",The main topic of discussion at the meeting was the new marketing strategy.,Communication
torture,noun,c1,"sự tra tấn, sự hành hạ",The human rights organization documented several cases of torture against political prisoners.,Crime & Justice
torture,verb,c1,"tra tấn, hành hạ",The interrogators tried to torture information out of the captured spy.,Crime & Justice
toss,verb,c1,"ném, quăng, tung",He decided to toss the old newspaper into the recycling bin.,Daily Life
total,adjective,b1,"tổng cộng, toàn bộ, hoàn toàn",The total cost of the project exceeded our initial budget.,Finance
total,noun,b1,"tổng số, tổng cộng",The grand total for all the items was $150.,Science
total,verb,c1,"lên tới tổng số, đạt tổng cộng",The expenses for the trip totaled over two thousand dollars.,Finance
totally,adverb,b1,"hoàn toàn, tuyệt đối",I totally agree with your point of view.,General
touch,noun,b1,"sự chạm, sự tiếp xúc; cảm giác chạm",The baby's skin was soft to the touch.,Health
touch,verb,a2,"chạm vào, sờ vào",Please don't touch the wet paint.,General
tough,adjective,b2,"khó khăn, dai, bền","It was a tough decision to make, but I think it was the right one.",General
tour,noun,a2,"chuyến tham quan, chuyến du lịch",We went on a guided tour of the ancient castle.,Travel
tour,verb,b1,"đi tham quan, đi du lịch",The band will tour Europe next summer.,Travel
tourism,noun,a2,"ngành du lịch, sự du lịch",Tourism is a major industry in many coastal regions.,Travel
tourist,noun,a1,khách du lịch,A tourist often visits famous landmarks and museums.,Travel
tournament,noun,b2,"giải đấu, cuộc thi đấu",Our school team won the regional basketball tournament last year.,Sports
towards,preposition,a2,"về phía, hướng về",She walked towards the door and opened it.,Travel
towel,noun,a2,"khăn tắm, khăn lau",Please grab a clean towel from the bathroom.,Home & Housing
tower,noun,a2,tháp,The Eiffel Tower is a famous landmark in Paris.,General
town,noun,a1,"thị trấn, thị xã",We live in a small town near the mountains.,Environment
toxic,adjective,c1,"độc hại, có độc",The factory was fined for releasing toxic waste into the river.,Environment
toy,adjective,a2,"nhỏ bé, đồ chơi (dùng để chỉ vật nhỏ mô phỏng)",He collects toy soldiers from different historical periods.,Furniture & Objects
toy,noun,a2,đồ chơi,The child received many toys for her birthday.,General
trace,noun,c1,"dấu vết, vết tích",Police found no trace of the missing person.,Science
trace,verb,b2,"truy tìm, lần theo dấu vết",Police are trying to trace the owner of the stolen car.,Politics & Law
track,noun,a2,"đường ray, đường mòn, dấu vết",The train runs on a single track.,Sports
track,verb,b2,"theo dõi, lần theo",We can track the package online to see its delivery status.,Technology
trade,noun,b1,"thương mại, ngành nghề",International trade is essential for global economies.,Economics & Trade
trade,verb,b1,"trao đổi, buôn bán",They decided to trade their old car for a new model.,Business & Management
trademark,noun,c1,"nhãn hiệu, thương hiệu (đã đăng ký)",The company registered its new logo as a trademark to protect its brand.,Professions
trading,noun,b2,"sự giao dịch, hoạt động mua bán","Stock trading can be a very volatile activity, requiring careful analysis.",Finance
tradition,noun,a2,truyền thống,It's a family tradition to have a big dinner together every Sunday.,Arts & Music
traditional,adjective,a2,"thuộc về truyền thống, cổ truyền",Many cultures still wear traditional clothing for special ceremonies.,Arts & Music
traffic,noun,a1,"giao thông, lưu lượng xe cộ",The morning traffic in the city center is always very heavy.,Travel
tragedy,noun,b2,"bi kịch, thảm kịch",The sudden death of the young artist was a great tragedy for the art world.,Emotions
tragic,adjective,b2,"bi thảm, bi kịch",It was a tragic accident that claimed many lives.,General
trail,noun,c1,"đường mòn, dấu vết",We followed the hiking trail through the forest to the waterfall.,Environment
trail,verb,c1,"theo dõi, kéo lê, tụt lại phía sau",The detective decided to trail the suspect for a few days.,Travel
trailer,noun,c1,"xe kéo, đoạn phim quảng cáo",The new movie trailer looks very exciting and promises a lot of action.,Arts & Music
train,noun,a1,"tàu hỏa, xe lửa",We took the train to visit our grandparents in the next city.,Transportation
train,verb,a2,"đào tạo, huấn luyện",The company will train new employees on how to use the software.,General
trainer,noun,a2,"huấn luyện viên, người đào tạo",My personal trainer helped me achieve my fitness goals.,Sports
training,noun,a2,"sự đào tạo, sự huấn luyện",She is currently undergoing intensive training for the marathon.,Sports
trait,noun,b2,"đặc điểm, nét tính cách",Honesty is a desirable trait in a friend.,Emotions
transaction,noun,c1,"giao dịch, sự giao dịch",The bank processed thousands of online transactions every day.,Finance
transcript,noun,c1,"bản sao, bản ghi chép (bài nói, điểm học)",Students need to submit an official transcript of their academic records.,Work & Career
transfer,noun,b2,"sự chuyển giao, sự di chuyển (tiền, quyền sở hữu, vị trí)",The transfer of funds from one account to another was completed quickly.,Finance
transfer,verb,b2,"chuyển giao, di chuyển, chuyển nhượng",Please transfer the documents to the new department by tomorrow.,Professions
transform,verb,b2,"biến đổi, thay đổi hoàn toàn",The internet has transformed the way we communicate and access information.,Technology
transformation,noun,c1,"sự biến đổi, sự chuyển hóa",The city has undergone a remarkable transformation in the last decade.,Science
transit,noun,c1,"sự quá cảnh, sự vận chuyển",Passengers in transit must remain in the designated lounge area.,Travel
transition,noun,b2,"sự chuyển tiếp, giai đoạn chuyển đổi",The company is currently in a period of transition to new management.,Professions
translate,verb,b1,dịch (từ ngôn ngữ này sang ngôn ngữ khác),Can you translate this document from English to Vietnamese for me?,Grammar
translation,noun,b1,"bản dịch, sự dịch thuật",The book is available in several different translations.,Grammar
transmission,noun,c1,"sự truyền, sự phát (tín hiệu, bệnh tật); hộp số",The transmission of data over the internet is usually very fast.,Technology
transmit,verb,b2,"truyền, phát (tín hiệu, bệnh tật)",Radio waves transmit sound across long distances.,Communication
transparency,noun,c1,tính minh bạch; tính trong suốt,The government promised greater transparency in its financial dealings.,Politics & Law
transparent,adjective,c1,trong suốt; minh bạch,The glass was so clean it looked almost transparent.,Description
transport,noun,a2,"sự vận chuyển, phương tiện giao thông",Public transport in the city is very efficient.,Transportation
transport,verb,b1,"vận chuyển, chuyên chở",The company uses large trucks to transport goods across the country.,General
transportation,noun,b2,"sự vận chuyển, phương tiện giao thông",Public transportation is often more environmentally friendly than private cars.,Travel
trap,noun,b2,"cái bẫy, cạm bẫy",The hunter set a trap to catch the wild animal.,General
trap,verb,b2,"bẫy, mắc kẹt, giam giữ",The fallen tree trapped the hikers in the cave.,General
trauma,noun,c1,"chấn thương (thể chất hoặc tâm lý), tổn thương",Experiencing a natural disaster can cause significant emotional trauma.,Mental Health
travel,noun,a1,"sự đi lại, chuyến đi",Air travel has become much more affordable in recent years.,Travel
travel,verb,a1,"đi lại, du lịch",They plan to travel around the world next summer.,Travel
traveller,noun,a2,"người đi du lịch, lữ khách",An experienced traveller knows how to pack light.,Travel
treasure,noun,b2,"kho báu, của cải quý giá",The old map supposedly led to a hidden pirate treasure.,General
treat,verb,b1,"đối xử, chữa trị",You should always treat others with kindness and respect.,Communication
treatment,noun,b1,sự điều trị; cách đối xử,The patient received excellent medical treatment at the hospital.,Medical & Treatment
treaty,noun,c1,"hiệp ước, hiệp định",The two nations signed a peace treaty to end the war.,Politics & Law
tree,noun,a1,cây,A tall oak tree stood in the middle of the forest.,Nature & Wildlife
tremendous,adjective,c1,"rất lớn, phi thường, ghê gớm",The new building required a tremendous amount of work to complete.,Description
trend,noun,b1,"xu hướng, khuynh hướng",There is a growing trend towards remote work in many industries.,People
trial,noun,b2,sự thử nghiệm; phiên tòa,The new drug is currently undergoing clinical trials.,Crime & Justice
tribal,adjective,c1,thuộc về bộ lạc,The museum displayed a collection of ancient tribal artifacts.,Politics & Law
tribe,noun,b2,"bộ lạc, bộ tộc",Many indigenous tribes have unique cultural traditions.,People
tribunal,noun,c1,tòa án đặc biệt; hội đồng xét xử,An international tribunal was established to investigate war crimes.,Politics & Law
tribute,noun,c1,cống vật; lời ca ngợi; sự tôn vinh,The concert was a tribute to the late singer's musical legacy.,Arts & Music
trick,noun,b1,"Mánh khóe, trò lừa bịp, thủ thuật.",The magician performed an amazing card trick.,Arts & Music
trick,verb,b1,"Lừa gạt, đánh lừa.",He tried to trick me into giving him his secret.,General
trigger,noun,c1,"Cò súng; yếu tố kích hoạt, nguyên nhân.",The loud noise was a trigger for his anxiety.,Emotions
trigger,verb,b2,"Kích hoạt, gây ra.",The alarm was triggered by the smoke.,Health
trillion,number,b2,"Nghìn tỷ (1,000,000,000,000).",The company's market value exceeded one trillion dollars.,Finance
trio,noun,c1,"bộ ba, tam tấu",The jazz trio played a beautiful melody at the club last night.,Arts & Music
trip,noun,a1,"chuyến đi, cuộc hành trình",We are planning a trip to the mountains next month.,Travel
trip,verb,b2,"vấp ngã, làm vấp ngã",Be careful not to trip over the rug.,General
triumph,noun,c1,"chiến thắng, thành công lớn",Winning the championship was a great triumph for the team.,Philosophy
troop,noun,b2,"đội quân, binh lính (số nhiều); đoàn, nhóm (người)",A troop of soldiers marched through the town.,Politics & Law
trophy,noun,c1,"cúp, chiến lợi phẩm",The team proudly displayed their championship trophy after winning the final game.,Sports
tropical,adjective,b2,(thuộc) nhiệt đới,"We enjoyed the warm, humid weather and lush vegetation of the tropical island.",Environment
trouble,noun,a2,"rắc rối, vấn đề",He got into trouble with his parents for staying out too late.,People
trouble,verb,b2,"làm phiền, gây rắc rối","I'm sorry to trouble you, but could you help me with this heavy box?",Daily Life
troubled,adjective,c1,"lo lắng, bối rối; gặp rắc rối","She had a troubled look on her face, indicating she was worried about something.",Emotions
trousers,noun,a1,quần dài,He bought a new pair of trousers for the party.,Fashion
truck,noun,a2,xe tải,The delivery truck arrived with the furniture.,Transportation
true,adjective,a1,"đúng, thật",Is it true that you're moving to another city?,Grammar
truly,adverb,b2,"thực sự, thật sự",I am truly grateful for your help.,Emotions
trust,noun,b2,sự tin tưởng,Building trust takes time and honesty.,Family
trust,verb,b2,"tin tưởng, tin cậy",I trust you to complete the project on time.,Family
trustee,noun,c1,"người được ủy thác, ủy viên quản trị",The university's board of trustees meets quarterly to discuss financial matters.,Politics & Law
truth,noun,b1,"sự thật, chân lý","Always tell the truth, even when it's difficult.",General
try,noun,b2,"sự cố gắng, sự thử","Give it a try, you might surprise yourself.",Action Verbs
try,verb,a1,"cố gắng, thử",I will try my best to finish the task today.,Action Verbs
tsunami,noun,b2,sóng thần,The coastal town was devastated by a powerful tsunami.,General
tube,noun,b1,ống; tuýp,He squeezed the last bit of toothpaste out of the tube.,Home & Housing
Tuesday,noun,a1,thứ Ba,I have a meeting scheduled for next Tuesday morning.,Calendar & Dates
tuition,noun,c1,học phí,University tuition fees have increased significantly in recent years.,Education
tune,noun,b2,giai điệu; điệu nhạc,She hummed a familiar tune as she worked in the garden.,Music & Performance
tunnel,noun,b2,đường hầm,The train disappeared into the long dark tunnel.,General
turn,noun,a1,"lượt, sự rẽ",It's your turn to choose a song.,Sports
turn,verb,a1,"xoay, rẽ, biến thành",Please turn the light off when you leave the room.,Action Verbs
turnout,noun,c1,"số người tham dự, tỷ lệ cử tri đi bầu",The election turnout was higher than expected this year.,Politics & Law
turnover,noun,c1,"doanh thu, sự luân chuyển nhân sự",The company reported a significant increase in annual turnover.,Professions
TV,noun,a1,"tivi, vô tuyến truyền hình",We watched a movie on TV last night.,Media & Journalism
twelve,number,a1,mười hai,There are twelve months in a year.,Time
twenty,number,a1,hai mươi,She is twenty years old.,Science
twice,adverb,a1,"hai lần, gấp đôi",I've visited that museum twice.,Duration & Frequency
twin,adjective,a2,sinh đôi,They have twin daughters who look very similar.,Family
twin,noun,a2,anh/chị/em sinh đôi,My mother gave birth to twin boys last year.,Family
twist,noun,c1,"sự xoắn, sự vặn; bước ngoặt bất ngờ",The story had an unexpected twist at the end.,Grammar
twist,verb,c1,"xoắn, vặn; bẻ cong",She twisted her ankle while playing basketball.,Health
two,number,a1,hai,I have two apples in my basket.,Daily Life
type,noun,a1,"loại, kiểu",What type of music do you like?,Grammar
type,verb,b1,"đánh máy, gõ (chữ)",She can type very fast without looking at the keyboard.,Technology
typical,adjective,a2,"điển hình, tiêu biểu, đặc trưng","It was a typical summer day, hot and sunny.",General
typically,adverb,b1,"thông thường, điển hình là, thường lệ",We typically have dinner around 7 PM.,Grammar
tyre,noun,b1,"lốp xe, vỏ xe",I need to check the pressure in my car's tyres before the long trip.,General
ugly,adjective,b1,"xấu xí, không đẹp",The old building was considered ugly by many people.,Emotions
ultimate,adjective,b2,"cuối cùng, tối thượng, tuyệt đỉnh",Achieving inner peace is the ultimate goal for many people.,General
ultimately,adverb,b2,"cuối cùng thì, rốt cuộc","We tried many solutions, but ultimately, the simplest one worked best.",General
umbrella,noun,a1,"cái ô, cái dù",Don't forget to take your umbrella; it looks like it's going to rain.,Environment
unable,adjective,b1,"không thể, không có khả năng",I'm unable to attend the meeting tomorrow due to a prior commitment.,Professions
unacceptable,adjective,b2,không thể chấp nhận được,His behavior at the party was completely unacceptable.,People
uncertainty,noun,b2,"sự không chắc chắn, sự mơ hồ",The economic forecast is clouded by a lot of uncertainty.,General
uncle,noun,a1,"chú, bác, cậu (anh hoặc em trai của bố/mẹ)",My uncle taught me how to ride a bicycle when I was a child.,Family
uncomfortable,adjective,b1,"không thoải mái, khó chịu",I felt uncomfortable in the tight shoes all day.,Feelings & States
unconscious,adjective,b2,"bất tỉnh, vô thức",The patient remained unconscious for several hours after the surgery.,Health
under,adverb,a1,"bên dưới, ở dưới",The ball rolled under the table and out of sight.,Travel
under,preposition,a1,"dưới, bên dưới",The cat is sleeping under the table.,Daily Life
undergo,verb,b2,"trải qua, chịu đựng",She had to undergo surgery after the accident.,Health
undergraduate,noun,c1,sinh viên đại học,Many undergraduates live in dormitories on campus.,Education
underground,adjective,a2,"dưới lòng đất, ngầm",The city has an extensive underground railway system.,Sports
underground,adverb,a2,"dưới lòng đất, ngầm",The miners worked deep underground.,Professions
underlying,adjective,c1,"tiềm ẩn, cơ bản, nền tảng",The underlying cause of the problem was a lack of communication.,Description
undermine,verb,c1,"làm suy yếu, phá hoại (một cách ngấm ngầm)",Constant criticism can undermine a child's confidence.,Emotions
understand,verb,a1,"hiểu, nắm được",I don't understand why she left so suddenly.,Communication
understanding,noun,a2,"sự hiểu biết, sự thông cảm",We need to reach a mutual understanding on this issue.,Family
undertake,verb,b2,"đảm nhận, thực hiện, cam kết",The company will undertake a major renovation project next year.,Professions
underwear,noun,b1,đồ lót,She bought new underwear for her vacation.,Fashion
undoubtedly,adverb,c1,"không nghi ngờ gì nữa, chắc chắn",He is undoubtedly one of the most talented artists of his generation.,Description
unemployed,adjective,b1,thất nghiệp,"After losing his job, he remained unemployed for several months.",Finance
unemployment,noun,b1,sự thất nghiệp,The government is trying to reduce the rate of unemployment.,Economics & Trade
unexpected,adjective,b2,"bất ngờ, không mong đợi",The sudden rain was an unexpected change in the weather forecast.,General
unfair,adjective,b1,"không công bằng, bất công",It's unfair that some students have more homework than others.,People
unfold,verb,b2,"mở ra, hé lộ (sự việc); trải ra (vật)",The story began to unfold as the detective gathered more clues.,General
unfortunate,adjective,b2,"không may mắn, đáng tiếc",It was an unfortunate accident that no one could have prevented.,General
